,,,,,,
Task number,User name,Status,OPENDATE,OPENTIME,CLOSEDATE,CLOSETIME
57707,RIJOTHI,CLS,07/08/2025,7:18:33,07/08/2025,9:45:08
57706,RIJOTHI,CLS,07/08/2025,6:30:46,07/08/2025,6:39:13
57705,RIJOTHI,CLS,06/08/2025,20:04:23,07/08/2025,6:14:34
57704,RIJOTHI,CLS,06/08/2025,19:07:10,06/08/2025,19:44:10
57703,RIJOTHI,CLS,06/08/2025,13:09:09,06/08/2025,13:18:53
57702,RIJOTHI,CLS,06/08/2025,11:27:02,06/08/2025,11:29:19
57701,RIJOTHI,CLS,06/08/2025,11:09:48,06/08/2025,11:13:53
57700,RISOFIS,OPN,06/08/2025,10:23:23,-,-
57699,RIJOTHI,CLS,06/08/2025,7:09:37,06/08/2025,11:09:15
57698,RIJOTHI,CLS,05/08/2025,19:33:18,06/08/2025,7:07:48
57697,RIJOTHI,CLS,05/08/2025,18:21:05,05/08/2025,18:34:55
57696,RISOFIS,CLS,05/08/2025,13:35:22,06/08/2025,10:23:13
57695,RISOFIS,CLS,05/08/2025,13:02:24,05/08/2025,13:35:13
57694,RISOFIS,CLS,04/08/2025,13:31:47,05/08/2025,13:01:53
57693,RISOFIS,CLS,04/08/2025,9:29:22,04/08/2025,13:31:35
57692,RIJOTHI,CLS,04/08/2025,3:32:23,05/08/2025,10:15:17
57691,RIJOTHI,CLS,01/08/2025,4:43:55,01/08/2025,4:57:53
57690,RIELAD,OPN,31/07/2025,7:17:28,-,-
57689,RISOFIS,CLS,29/07/2025,9:10:23,04/08/2025,9:29:13
57688,RIJOTHI,CLS,29/07/2025,9:06:58,29/07/2025,12:38:17
57687,RIJOTHI,CLS,28/07/2025,7:56:49,28/07/2025,8:22:25
57686,RIJOTHI,CLS,28/07/2025,4:33:08,28/07/2025,4:55:06
57685,RISOFIS,CLS,27/07/2025,12:53:00,29/07/2025,9:10:14
57684,RIJOTHI,CLS,23/07/2025,11:22:21,24/07/2025,6:37:55
57683,RIELAD,CLS,21/07/2025,21:36:07,31/07/2025,7:17:03
57682,RIELAD,CLS,21/07/2025,17:46:06,21/07/2025,21:35:19
57681,RIELAD,CLS,21/07/2025,16:58:02,21/07/2025,17:45:48
57680,RISOFIS,CLS,21/07/2025,11:03:56,27/07/2025,12:52:51
57679,RISOFIS,CLS,21/07/2025,7:42:48,21/07/2025,11:03:49
57678,RISOFIS,CLS,21/07/2025,7:37:12,21/07/2025,7:42:40
57677,RISOFIS,CLS,20/07/2025,10:58:22,21/07/2025,7:37:02
57676,RISOFIS,CLS,20/07/2025,8:32:03,20/07/2025,10:56:46
57675,RISOFIS,CLS,15/07/2025,11:13:47,20/07/2025,8:31:34
57674,RIJOTHI,CLS,14/07/2025,13:36:56,14/07/2025,14:02:59
57673,RIJOTHI,CLS,14/07/2025,13:11:58,14/07/2025,13:33:09
57672,RIJOTHI,CLS,14/07/2025,9:36:06,14/07/2025,13:08:39
57671,RIJOTHI,CLS,09/07/2025,12:59:28,10/07/2025,14:02:01
57670,RISOFIS,CLS,09/07/2025,12:51:39,15/07/2025,11:13:35
57669,RISOFIS,CLS,09/07/2025,10:13:53,09/07/2025,12:51:33
57668,RIJOTHI,CLS,09/07/2025,9:44:40,09/07/2025,10:06:54
57667,RISOFIS,CLS,08/07/2025,15:21:44,09/07/2025,10:13:49
57666,RISOFIS,CLS,08/07/2025,14:32:42,08/07/2025,15:21:40
57665,RINURIT,OPN,08/07/2025,8:56:47,-,-
57664,RIELAD,CLS,08/07/2025,7:05:32,21/07/2025,16:57:52
57663,RIELAD,CLS,07/07/2025,17:51:44,08/07/2025,7:05:19
57662,RIELAD,CLS,07/07/2025,17:46:00,07/07/2025,17:51:20
57661,RIJOTHI,CLS,07/07/2025,13:31:24,09/07/2025,9:15:53
57660,RISOFIS,CLS,07/07/2025,9:50:03,08/07/2025,14:32:35
57659,RISOFIS,CLS,06/07/2025,13:45:26,07/07/2025,9:49:59
57658,RISOFIS,CLS,06/07/2025,10:10:53,06/07/2025,13:45:22
